filename,class_idx
test/00001.jpg,180
test/00002.jpg,102
test/00003.jpg,144
test/00004.jpg,186
test/00005.jpg,184
test/00006.jpg,77
test/00007.jpg,117
test/00008.jpg,164
test/00009.jpg,31
test/00010.jpg,59
test/00011.jpg,48
test/00012.jpg,107
test/00013.jpg,115
test/00014.jpg,134
test/00015.jpg,82
test/00016.jpg,50
test/00017.jpg,153
test/00018.jpg,32
test/00019.jpg,21
test/00020.jpg,31
test/00021.jpg,150
test/00022.jpg,3
test/00023.jpg,80
test/00024.jpg,106
test/00025.jpg,164
test/00026.jpg,190
test/00027.jpg,169
test/00028.jpg,194
test/00029.jpg,90
test/00030.jpg,4
test/00031.jpg,163
test/00032.jpg,147
test/00033.jpg,187
test/00034.jpg,43
test/00035.jpg,32
test/00036.jpg,6
test/00037.jpg,30
test/00038.jpg,73
test/00039.jpg,29
test/00040.jpg,165
test/00041.jpg,179
test/00042.jpg,105
test/00043.jpg,2
test/00044.jpg,64
test/00045.jpg,190
test/00046.jpg,34
test/00047.jpg,74
test/00048.jpg,84
test/00049.jpg,24
test/00050.jpg,167
test/00051.jpg,136
test/00052.jpg,133
test/00053.jpg,190
test/00054.jpg,155
test/00055.jpg,180
test/00056.jpg,119
test/00057.jpg,74
test/00058.jpg,129
test/00059.jpg,127
test/00060.jpg,35
test/00061.jpg,34
test/00062.jpg,117
test/00063.jpg,170
test/00064.jpg,36
test/00065.jpg,63
test/00066.jpg,182
test/00067.jpg,187
test/00068.jpg,82
test/00069.jpg,42
test/00070.jpg,17
test/00071.jpg,75
test/00072.jpg,136
test/00073.jpg,50
test/00074.jpg,129
test/00075.jpg,167
test/00076.jpg,0
test/00077.jpg,144
test/00078.jpg,59
test/00079.jpg,62
test/00080.jpg,173
test/00081.jpg,173
test/00082.jpg,16
test/00083.jpg,104
test/00084.jpg,49
test/00085.jpg,6
test/00086.jpg,194
test/00087.jpg,122
test/00088.jpg,81
test/00089.jpg,191
test/00090.jpg,92
test/00091.jpg,50
test/00092.jpg,145
test/00093.jpg,81
test/00094.jpg,95
test/00095.jpg,186
test/00096.jpg,54
test/00097.jpg,114
test/00098.jpg,112
test/00099.jpg,151
test/00100.jpg,91
test/00101.jpg,188
test/00102.jpg,20
test/00103.jpg,33
test/00104.jpg,86
test/00105.jpg,128
test/00106.jpg,142
test/00107.jpg,35
test/00108.jpg,129
test/00109.jpg,29
test/00110.jpg,19
test/00111.jpg,177
test/00112.jpg,11
test/00113.jpg,169
test/00114.jpg,32
test/00115.jpg,163
test/00116.jpg,153
test/00117.jpg,45
test/00118.jpg,60
test/00119.jpg,8
test/00120.jpg,30
test/00121.jpg,74
test/00122.jpg,119
test/00123.jpg,56
test/00124.jpg,173
test/00125.jpg,42
test/00126.jpg,28
test/00127.jpg,120
test/00128.jpg,5
test/00129.jpg,107
test/00130.jpg,5
test/00131.jpg,85
test/00132.jpg,68
test/00133.jpg,22
test/00134.jpg,35
test/00135.jpg,30
test/00136.jpg,108
test/00137.jpg,3
test/00138.jpg,89
test/00139.jpg,132
test/00140.jpg,125
test/00141.jpg,137
test/00142.jpg,158
test/00143.jpg,58
test/00144.jpg,123
test/00145.jpg,52
test/00146.jpg,153
test/00147.jpg,58
test/00148.jpg,27
test/00149.jpg,13
test/00150.jpg,70
test/00151.jpg,80
test/00152.jpg,25
test/00153.jpg,185
test/00154.jpg,158
test/00155.jpg,13
test/00156.jpg,171
test/00157.jpg,81
test/00158.jpg,9
test/00159.jpg,40
test/00160.jpg,114
test/00161.jpg,151
test/00162.jpg,178
test/00163.jpg,44
test/00164.jpg,97
test/00165.jpg,179
test/00166.jpg,9
test/00167.jpg,36
test/00168.jpg,70
test/00169.jpg,106
test/00170.jpg,87
test/00171.jpg,42
test/00172.jpg,159
test/00173.jpg,146
test/00174.jpg,24
test/00175.jpg,104
test/00176.jpg,51
test/00177.jpg,155
test/00178.jpg,87
test/00179.jpg,121
test/00180.jpg,122
test/00181.jpg,30
test/00182.jpg,40
test/00183.jpg,1
test/00184.jpg,133
test/00185.jpg,134
test/00186.jpg,21
test/00187.jpg,80
test/00188.jpg,160
test/00189.jpg,48
test/00190.jpg,32
test/00191.jpg,78
test/00192.jpg,17
test/00193.jpg,34
test/00194.jpg,109
test/00195.jpg,19
test/00196.jpg,103
test/00197.jpg,84
test/00198.jpg,27
test/00199.jpg,142
test/00200.jpg,159
test/00201.jpg,13
test/00202.jpg,125
test/00203.jpg,174
test/00204.jpg,158
test/00205.jpg,27
test/00206.jpg,125
test/00207.jpg,64
test/00208.jpg,181
test/00209.jpg,86
test/00210.jpg,23
test/00211.jpg,42
test/00212.jpg,111
test/00213.jpg,166
test/00214.jpg,8
test/00215.jpg,171
test/00216.jpg,129
test/00217.jpg,172
test/00218.jpg,87
test/00219.jpg,107
test/00220.jpg,66
test/00221.jpg,144
test/00222.jpg,192
test/00223.jpg,188
test/00224.jpg,49
test/00225.jpg,148
test/00226.jpg,78
test/00227.jpg,91
test/00228.jpg,87
test/00229.jpg,32
